2024-05-26 | hospedagem ,exceto do parlamentar no distrito federal. | 2845.0 | airton faleiro | pt | pa
2024-06-03 | combustíveis e lubrificantes. | 221.82 | abilio brunini | pl | mt
2024-07-01 | manutenção de escritório de apoio à atividade parlamentar | 2781.36 | adilson barroso | pl | sp
2024-07-02 | divulgação da atividade parlamentar. | 4500.0 | aguinaldo ribeiro | pp | pb
2024-07-07 | manutenção de escritório de apoio à atividade parlamentar | 5639.34 | adilson barroso | pl | sp
2024-07-08 | manutenção de escritório de apoio à atividade parlamentar | 600.0 | abilio brunini | pl | mt
2024-07-09 | manutenção de escritório de apoio à atividade parlamentar | 1566.24 | adail filho | republicanos | am
2024-07-11 | combustíveis e lubrificantes. | 100.0 | alberto fraga | pl | df
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 805.0 | aécio neves | psdb | mg
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 805.0 | adriano do baldy | pp | go
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 1082.33 | acácio favacho | mdb | ap
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 657.0 | adriana ventura | novo | sp
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 657.0 | adolfo viana | psdb | ba
2024-07-12 | manutenção de escritório de apoio à atividade parlamentar | 498.26 | adilson barroso | pl | sp
2024-07-13 | combustíveis e lubrificantes. | 297.94 | alberto fraga | pl | df
2024-07-13 | manutenção de escritório de apoio à atividade parlamentar | 955.53 | adolfo viana | psdb | ba
2024-07-14 | telefonia | 191.58 | afonso motta | pdt | rs
2024-07-15 | combustíveis e lubrificantes. | 278.68 | alberto mourão | mdb | sp
2024-07-15 | manutenção de escritório de apoio à atividade parlamentar | 912.2 | acácio favacho | mdb | ap
2024-07-15 | manutenção de escritório de apoio à atividade parlamentar | 912.2 | adail filho | republicanos | am
2024-07-17 | combustíveis e lubrificantes. | 254.99 | adriana ventura | novo | sp
2024-07-17 | manutenção de escritório de apoio à atividade parlamentar | 1234.07 | abilio brunini | pl | mt
2024-07-18 | manutenção de escritório de apoio à atividade parlamentar | 2415.39 | acácio favacho | mdb | ap
2024-07-18 | manutenção de escritório de apoio à atividade parlamentar | 2542.72 | adriana ventura | novo | sp
2024-07-18 | manutenção de escritório de apoio à atividade parlamentar | 600.49 | adail filho | republicanos | am
2024-07-18 | manutenção de escritório de apoio à atividade parlamentar | 6005.0 | adilson barroso | pl | sp
2024-07-19 | manutenção de escritório de apoio à atividade parlamentar | 382.14 | acácio favacho | mdb | ap
2024-07-19 | manutenção de escritório de apoio à atividade parlamentar | 539.55 | adolfo viana | psdb | ba
2024-07-19 | manutenção de escritório de apoio à atividade parlamentar | 115.84 | abilio brunini | pl | mt
2024-07-19 | manutenção de escritório de apoio à atividade parlamentar | 440.0 | adail filho | republicanos | am
2024-07-19 | manutenção de escritório de apoio à atividade parlamentar | 440.0 | adilson barroso | pl | sp
2024-07-20 | locação ou fretamento de veículos automotores | 6441.88 | adriano do baldy | pp | go
2024-07-20 | manutenção de escritório de apoio à atividade parlamentar | 275.0 | abilio brunini | pl | mt
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 554.73 | acácio favacho | mdb | ap
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 503.42 | adriana ventura | novo | sp
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 503.42 | adolfo viana | psdb | ba
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 4100.35 | abilio brunini | pl | mt
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 556.0 | adail filho | republicanos | am
2024-07-22 | manutenção de escritório de apoio à atividade parlamentar | 3788.25 | adilson barroso | pl | sp
2024-07-23 | combustíveis e lubrificantes. | 226.75 | aécio neves | psdb | mg
2024-07-23 | manutenção de escritório de apoio à atividade parlamentar | 924.35 | acácio favacho | mdb | ap
2024-07-23 | manutenção de escritório de apoio à atividade parlamentar | 336.65999999999997 | adolfo viana | psdb | ba
2024-07-23 | combustíveis e lubrificantes. | 220.0 | adail filho | republicanos | am
2024-07-23 | manutenção de escritório de apoio à atividade parlamentar | 6630.539999999999 | adail filho | republicanos | am
2024-07-24 | locação ou fretamento de veículos automotores | 5659.0 | alberto fraga | pl | df
2024-07-24 | manutenção de escritório de apoio à atividade parlamentar | 1132.55 | adriano do baldy | pp | go
2024-07-24 | manutenção de escritório de apoio à atividade parlamentar | 520.38 | acácio favacho | mdb | ap
2024-07-24 | combustíveis e lubrificantes. | 200.0 | adriana ventura | novo | sp
2024-07-24 | manutenção de escritório de apoio à atividade parlamentar | 1132.55 | adriana ventura | novo | sp
2024-07-24 | manutenção de escritório de apoio à atividade parlamentar | 2011.6 | adolfo viana | psdb | ba
